ckm_stage_f,mean,se,variable
2,50.46555603224477,0.2339536630022065,age
3,68.06506674206966,0.4367025806724291,age
4,64.90672876768141,0.3881141533635186,age
2,30.825429028155785,0.12072086068461235,bmi
3,29.707107661317266,0.2122309074416409,bmi
4,31.00774016194541,0.2105274544870461,bmi
2,103.92652390294248,0.3002761424491907,waist_cm
3,105.65902244819105,0.5501865856739039,waist_cm
4,107.03765722673226,0.4736934652662453,waist_cm
2,94.76221073162351,0.27637342761747624,egfr
3,71.79676095527782,0.8750015772840917,egfr
4,77.78424474779071,0.5549588853382191,egfr
2,5.784402778497188,0.013339901706961895,hba1c
3,6.525425977979788,0.06386597723720765,hba1c
4,6.2200775457405895,0.03247009867235075,hba1c
2,16.885623595998442,0.4093559452514001,uacr
3,359.82143431886755,38.49409408864534,uacr
4,94.55268102880743,9.845158034094206,uacr
2,127.63272083493156,0.2509944352672951,sbp_mean
3,138.08848526330743,0.7764890606146103,sbp_mean
4,128.92883641390372,0.5632781849825343,sbp_mean
2,75.52116582756925,0.24285796541646193,dbp_mean
3,70.72109746382048,0.4534781951823677,dbp_mean
4,69.31772360972168,0.3978122609548985,dbp_mean
2,197.7418220822221,0.7284149010109003,total_chol
3,186.60699128146481,1.6847260019764616,total_chol
4,176.45181283820415,1.201360097307977,total_chol
2,52.35638321067946,0.2502173702972095,hdl_chol
3,49.896274017244046,0.6683104694578722,hdl_chol
4,50.416669022673155,0.45940042412421045,hdl_chol
2,7.194936961820608,0.10606803988560894,prevent_score
3,23.16867110965045,0.32542411185964737,prevent_score
4,16.88068109512368,0.2924870123700162,prevent_score
2,3461.014984469758,20.00647964827185,diet_sodium
3,3149.179746038631,60.238135907720874,diet_sodium
4,3201.7595892776544,45.64152826746428,diet_sodium
