term,PR,CI_low,CI_high,SE_logPR,p_value,p_value_full
(Intercept),2.0619475759930452,1.7620274621891845,2.4129180148312064,0.08019686133158362,2.2813658948287678e-12,2.2813658948e-12
age10,0.9066281183699798,0.8929015202155383,0.920565735872723,0.007783703129071911,1.0607090253475449e-17,1.0607090253e-17
sex_fMale,1.0442680581580772,1.0035196265676747,1.0866711008124974,0.020307535721226178,0.03748551667198804,3.7485516672e-02
race_eth_fMexican American,1.0564550013198437,1.003260935120008,1.112469479019639,0.02635884446207926,0.041952335215882076,4.1952335216e-02
race_eth_fNon-Hispanic Asian,1.0446015654981846,0.974833709174997,1.1193626362846394,0.035267302499837075,0.22133650823668102,2.2133650824e-01
race_eth_fNon-Hispanic Black,1.0169550283158215,0.9627075385805213,1.0742593032373273,0.027968626381712557,0.5502658332469706,5.5026583325e-01
race_eth_fOther Hispanic,1.0277184240594537,0.9606057931064974,1.0995198724917026,0.03445529694368888,0.4309437317611253,4.3094373176e-01
race_eth_fOther/Multi,1.002555263625901,0.933969287417686,1.076177846707389,0.03615496358927476,0.9439886697588089,9.4398866976e-01
pir,0.992939052979618,0.9796101721634414,1.00644929069557,0.006895192083412543,0.30868571464116684,3.0868571464e-01
education_fLess than high school,0.9816334219201085,0.9248166214295095,1.0419408050226406,0.03041962779198902,0.5448232544593861,5.4482325446e-01
education_fHigh school/GED,1.0441693499179212,0.9998444541254313,1.090459247745386,0.022131248389567783,0.05601361385260423,5.6013613853e-02
uninsuredTRUE,1.1494713283042282,1.1008046063802517,1.200289612648182,0.022071810914648445,5.381432582739501e-8,5.3814325827e-08
bmi5,0.961680388866815,0.9500062122580448,0.9734980239053661,0.006231446717184732,6.26686404099198e-8,6.2668640410e-08
smoking_fFormer,0.992870575271768,0.9386548227432955,1.0502177747933301,0.028649238647236116,0.8037333578402412,8.0373335784e-01
smoking_fCurrent,0.9648181450691392,0.9216613978741955,1.0099957047151025,0.023347818466618642,0.13086725092599455,1.3086725093e-01
alcohol_fModerate,1.0209540055656299,0.9636788310025297,1.0816332661330073,0.02945647576190362,0.4844549194820448,4.8445491948e-01
alcohol_fHeavy,1.0352065272204212,0.9693812002784312,1.105501688801019,0.03351954027056247,0.30655053917003794,3.0655053917e-01
egfr_cat_f30-59,0.7031612087215757,0.6047857260294207,0.8175386160266865,0.07689385585221939,2.7794792874837178e-5,2.7794792875e-05
egfr_cat_f<30,0.7992333526169585,0.520540400815619,1.2271361664425429,0.2187680891235506,0.31022157713552573,3.1022157714e-01
uacr_cat_fA2,1.088039852541734,1.004544643995502,1.1784749715158895,0.04073644319109548,0.04312217483141612,4.3122174831e-02
uacr_cat_fA3,1.6246884459358233,1.31387381243976,2.009030487833385,0.10833479057243608,3.917016826281449e-5,3.9170168263e-05
hba1c,0.9414004702396227,0.9181611523970903,0.96522799189842,0.012752911219639113,1.624721852760975e-5,1.6247218528e-05
ckm_stage_f3,0.7874337954136309,0.6635246829648297,0.934482164836635,0.08735369572280842,0.00840487129748862,8.4048712975e-03
ckm_stage_f4,0.5672903480584862,0.5101798559925824,0.6307938959569533,0.05413669796296594,1.3059051121264559e-14,1.3059051121e-14
