term,PR,CI_low,CI_high,SE_logPR,p_value,p_value_full,model
(Intercept),0.4460907191027287,0.4059559390422991,0.4901934188696643,0.04810087153552188,1.669133878409997e-25,1.6691338784e-25,M2_plus_SDOH
age10,1.0267590149807566,1.0136121908081352,1.0400763570175013,0.006574937111509564,1.5382916108664e-4,1.5382916109e-04,M2_plus_SDOH
sex_fMale,1.1214780336737322,1.0785767651671596,1.1660857350452734,0.019900574590058194,2.387609955676022e-7,2.3876099557e-07,M2_plus_SDOH
race_eth_fMexican American,0.9459929826808533,0.8959128481034508,0.998872518879295,0.027751025835204026,0.04954627804606387,4.9546278046e-02,M2_plus_SDOH
race_eth_fNon-Hispanic Asian,1.0701470780107727,1.0002845189787608,1.1448890259185458,0.03444470234771181,0.05324121259900227,5.3241212599e-02,M2_plus_SDOH
race_eth_fNon-Hispanic Black,1.168577285979132,1.1174215896075816,1.2220748963566368,0.0228383341090667,3.3630689973708074e-9,3.3630689974e-09,M2_plus_SDOH
race_eth_fOther Hispanic,0.9783515784693688,0.9175668622301898,1.0431630113221986,0.03272634744052363,0.5059788202296504,5.0597882023e-01,M2_plus_SDOH
race_eth_fOther/Multi,0.9221109118112917,0.838632796340775,1.013898499309274,0.04841457587368023,0.09868545765801487,9.8685457658e-02,M2_plus_SDOH
pir,1.0135338103413596,1.001286556067647,1.0259308671229916,0.006202712842623182,0.033826280981130594,3.3826280981e-02,M2_plus_SDOH
education_fLess than high school,1.0147834624153784,0.970489889788785,1.061098612594371,0.022770176616277886,0.521488646131028,5.2148864613e-01,M2_plus_SDOH
education_fHigh school/GED,1.0589832648953716,1.015578255917355,1.1042433695229894,0.02135260368251466,0.009188808198647855,9.1888081986e-03,M2_plus_SDOH
uninsuredTRUE,1.027684260196309,0.971242808314593,1.087405672004878,0.02881977646091453,0.3468186366166055,3.4681863662e-01,M2_plus_SDOH
