term,PR,CI_low,CI_high,SE_logPR,p_value,p_value_full,model
(Intercept),0.1458262724370709,0.10653715716210493,0.1996045539354307,0.16016437782747323,4.906279308007011e-10,4.9062793080e-10,M3_full_clinical
age10,1.1620469240401687,1.1327089684619598,1.1921447532147509,0.013046407541922515,9.824303476262175e-10,9.8243034763e-10,M3_full_clinical
sex_fMale,1.2578270004041023,1.1664100049706407,1.3564087723899494,0.03849743335958428,1.227195909183275e-5,1.2271959092e-05,M3_full_clinical
race_eth_fMexican American,0.8739732141851752,0.7919745436538751,0.9644617812955742,0.05026555018051727,0.01529071788987007,1.5290717890e-02,M3_full_clinical
race_eth_fNon-Hispanic Asian,1.1792101310162775,1.0615705960911446,1.3098860671269357,0.05362006526746701,0.006536210019222814,6.5362100192e-03,M3_full_clinical
race_eth_fNon-Hispanic Black,1.3050850777793732,1.2224921659865793,1.3932580572962883,0.03335545826269837,2.527203067812369e-7,2.5272030678e-07,M3_full_clinical
race_eth_fOther Hispanic,1.0244088198135728,0.9078618981575413,1.1559174718550995,0.06162178139322836,0.7001325289836287,7.0013252898e-01,M3_full_clinical
race_eth_fOther/Multi,0.9574605681991271,0.8002899773429961,1.1454982139096488,0.09148490025492284,0.6403817247126711,6.4038172471e-01,M3_full_clinical
pir,0.9988334122507316,0.9799030085378544,1.0181295258161251,0.009762456302432028,0.9061504689981282,9.0615046900e-01,M3_full_clinical
education_fLess than high school,1.0011912537323997,0.9204191858669452,1.0890515342812053,0.042916643189159456,0.9781740843741515,9.7817408437e-01,M3_full_clinical
education_fHigh school/GED,1.0078871351666492,0.9238451393500421,1.0995744134662142,0.0444219458122787,0.8615978891643247,8.6159788916e-01,M3_full_clinical
uninsuredTRUE,1.0363085088013557,0.9461388976159457,1.1350715292650602,0.0464442767352511,0.4524993307320775,4.5249933073e-01,M3_full_clinical
bmi5,1.0582119051194712,1.0352988332580098,1.0816320855038666,0.01116861680854942,8.049474177043852e-5,8.0494741770e-05,M3_full_clinical
smoking_fFormer,1.0063879222401675,0.92391413182417,1.0962237887098694,0.04362436149148987,0.8855716679825364,8.8557166798e-01,M3_full_clinical
smoking_fCurrent,0.9340100007052796,0.7965981354331404,1.095125186230989,0.08119225279403643,0.41147918168830144,4.1147918169e-01,M3_full_clinical
alcohol_fModerate,1.0693180870360146,0.9516292484439948,1.2015616093473356,0.05949025940361414,0.2747116678234095,2.7471166782e-01,M3_full_clinical
alcohol_fHeavy,1.2137447261573213,1.0687850997731474,1.3783652678049094,0.06489174128056022,0.007937838618267613,7.9378386183e-03,M3_full_clinical
egfr_cat_f30-59,0.8028469053844963,0.6798389651892179,0.9481115183006061,0.08485106542043093,0.018563018619150343,1.8563018619e-02,M3_full_clinical
egfr_cat_f<30,0.928858393094867,0.7028000050388009,1.227629351503982,0.1422877215922373,0.6103154502761357,6.1031545028e-01,M3_full_clinical
uacr_cat_fA2,0.9324187248820887,0.8277662722058653,1.050302129602255,0.0607403851142372,0.2643901860453706,2.6439018605e-01,M3_full_clinical
uacr_cat_fA3,1.5068971363726509,1.2662044546071027,1.7933430666319172,0.0887902310632272,2.135251820461773e-4,2.1352518205e-04,M3_full_clinical
hba1c,0.995605598622951,0.9623778392840404,1.0299806038206252,0.017318395898404972,0.8021454399395948,8.0214543994e-01,M3_full_clinical
antihtn_drug_classes,0.937804653762202,0.8989883498694401,0.9782969587378634,0.021567139627014134,0.00807258296699845,8.0725829670e-03,M3_full_clinical
ckm_stage_f3,0.9488190510717769,0.8328193236000632,1.0809758685535367,0.06653131987911806,0.440004949468521,4.4000494947e-01,M3_full_clinical
ckm_stage_f4,0.6823007527232563,0.5968146690944403,0.7800316266908911,0.06829791778875442,2.597487612692756e-5,2.5974876127e-05,M3_full_clinical
diet_sodium_500,1.0078284175168322,0.999326686363386,1.0164024768024016,0.004322181049285271,0.08796613712521481,8.7966137125e-02,M3_full_clinical
cotinine_log,0.9935027358218629,0.9712220421359644,1.016294568350979,0.01157229586080508,0.5801928816189039,5.8019288162e-01,M3_full_clinical
pa_met_min_wk_1000,1.0032590900557539,0.9982461577963697,1.008297195955568,0.002555700366380003,0.21916245366399126,2.1916245366e-01,M3_full_clinical
