term,OR,CI_low,CI_high,SE_logPR,p_value,p_value_full
(Intercept),0.19782833696550337,0.09601285214685853,0.4076126271790714,0.36883551560509814,3.5072559765050225e-4,3.5072559765e-04
age10,1.2730719806974122,1.1982336555733026,1.3525844984394066,0.03091037928846614,3.4406555951572646e-7,3.4406555952e-07
sex_fMale,1.565866826622367,1.2889545456418297,1.9022694997328,0.09928984358091082,2.671203776037557e-4,2.6712037760e-04
race_eth_fMexican American,0.7427410287772706,0.5949591035772587,0.9272305146894548,0.11319120723568309,0.017081848595529327,1.7081848596e-02
race_eth_fNon-Hispanic Asian,1.570683777542171,1.1657643160234452,2.116248966557429,0.15210924208450588,0.008232699946643685,8.2326999466e-03
race_eth_fNon-Hispanic Black,1.7793393144790655,1.4960869740853857,2.116219478474074,0.08846383068459875,4.003118070757806e-6,4.0031180708e-06
race_eth_fOther Hispanic,1.1277640910969429,0.850581983826251,1.4952724950115048,0.14391401481594374,0.41440146588972926,4.1440146589e-01
race_eth_fOther/Multi,0.8260622624193836,0.5485121794192066,1.244054165061511,0.20890850228856644,0.3724489160787039,3.7244891608e-01
pir,0.9917424615148963,0.9455715563805667,1.040167825834825,0.024323414255589634,0.7371265559841498,7.3712655598e-01
education_fLess than high school,1.158843113334852,0.952004361192453,1.410621018207851,0.10031012984376908,0.15891524993264103,1.5891524993e-01
education_fHigh school/GED,1.114647938569308,0.9174715896830905,1.3542000002266739,0.0993225864011966,0.28889690695275994,2.8889690695e-01
uninsuredTRUE,1.1158962911417656,0.9035596898223234,1.3781320112109137,0.10768930437939306,0.32203694464910027,3.2203694465e-01
bmi5,1.1265548522294824,1.0625652199719486,1.1943980578578464,0.029835800450506385,8.511286546808953e-4,8.5112865468e-04
smoking_fFormer,0.8998166715805282,0.7150282444989817,1.1323609223599183,0.11728010184774325,0.3799500744831227,3.7995007448e-01
smoking_fCurrent,0.782657757787825,0.5085010500646566,1.2046251738272296,0.22001440254105117,0.28000278438442067,2.8000278438e-01
alcohol_fModerate,1.1170368297758597,0.8464269343974743,1.4741630120311848,0.1415361671791286,0.44438753609694115,4.4438753610e-01
alcohol_fHeavy,1.4100161779449445,1.0250755150848674,1.9395113753174256,0.1626708647519966,0.048901551117996434,4.8901551118e-02
egfr_cat_f30-59,0.6181708025029057,0.42668202878475964,0.8955969909383152,0.18914577865550736,0.020397612500366896,2.0397612500e-02
egfr_cat_f<30,0.855947123629562,0.34455676199810437,2.1263418956025353,0.46426008141289404,0.7414662448951952,7.4146624490e-01
uacr_cat_fA2,0.7525480244004094,0.577466388358497,0.9807125409303935,0.13510947737873621,0.04968476956924381,4.9684769569e-02
uacr_cat_fA3,2.8663284553968045,1.4546914643425775,5.647822246575453,0.3460398473553716,0.006997030617632171,6.9970306176e-03
hba1c,0.9462432478551351,0.8742184658570469,1.0242019804896771,0.04039253249120249,0.18815926530964025,1.8815926531e-01
antihtn_drug_classes,0.8391262057325019,0.7603636856713661,0.9260473670902737,0.050287891098350086,0.0026269159007420843,2.6269159007e-03
ckm_stage_f3,1.0813761924891594,0.7418181101191775,1.576362795314453,0.1922886136458591,0.688908195192961,6.8890819519e-01
ckm_stage_f4,0.4547826627209408,0.34782928709771643,0.5946229313733568,0.1367897119321318,1.8484643938174956e-5,1.8484643938e-05
diet_sodium_500,1.0196795362130946,0.9981328624011275,1.0416913376346695,0.010896571745442682,0.09054179119163672,9.0541791192e-02
cotinine_log,0.9870912038584867,0.9294965075298357,1.0482546592070128,0.0306731584180691,0.6768834152001254,6.7688341520e-01
pa_met_min_wk_1000,1.005061868475911,0.9922709920437546,1.0180176257936466,0.006534761137131713,0.4497552694641719,4.4975526946e-01
