term,PR,ci_lo,ci_hi,SE_logPR,p,p_fmt,race_eth,n,suppressed
(Intercept),0.1483576377263134,0.0919166767080601,0.2394558796075578,0.24425681184004916,6.434591156859136e-8,6.4345911569e-08,Non-Hispanic White,5168,FALSE
age10,1.149869009301285,1.111664483331467,1.18938650858856,0.017239594007251786,3.460454883348836e-8,3.4604548833e-08,Non-Hispanic White,5168,FALSE
sex_fMale,1.2072229745230316,1.0824172416627285,1.346419157161158,0.055676496268718824,0.0025653080504021483,2.5653080504e-03,Non-Hispanic White,5168,FALSE
pir,0.9982803719406245,0.9738270437256517,1.0233477365644665,0.012653293861014792,0.8929885423941278,8.9298854239e-01,Non-Hispanic White,5168,FALSE
education_fLess than high school,0.9037772079301789,0.779283069365371,1.0481598711483138,0.07561659359126302,0.1939869215027979,1.9398692150e-01,Non-Hispanic White,5168,FALSE
education_fHigh school/GED,1.0019938807664202,0.8960895969421612,1.1204144546699326,0.05699325002233826,0.9724214226492047,9.7242142265e-01,Non-Hispanic White,5168,FALSE
uninsuredTRUE,1.116514242158351,0.964531966652999,1.2924445182135846,0.07465502665300967,0.15343046979914396,1.5343046980e-01,Non-Hispanic White,5168,FALSE
bmi5,1.0568121628753866,1.024624199706664,1.090011291867879,0.015781159379641765,0.0019212454301854045,1.9212454302e-03,Non-Hispanic White,5168,FALSE
smoking_fFormer,1.0251088734687681,0.9210903442590894,1.140874192215849,0.05458978512631047,0.6538883485863545,6.5388834859e-01,Non-Hispanic White,5168,FALSE
smoking_fCurrent,0.8582651745659724,0.695677493767903,1.0588514311180452,0.10715659749097234,0.1672027694581146,1.6720276946e-01,Non-Hispanic White,5168,FALSE
alcohol_fModerate,1.089450016211398,0.9122429018406167,1.3010803761018312,0.09057243941373425,0.3540289436112347,3.5402894361e-01,Non-Hispanic White,5168,FALSE
alcohol_fHeavy,1.232370228165815,1.0094103544042132,1.5045777692322868,0.10182294744464722,0.05172385613819197,5.1723856138e-02,Non-Hispanic White,5168,FALSE
egfr_cat_f30-59,0.8128675740495636,0.6623395271925442,0.9976057079696823,0.10448464557071309,0.05944021324553815,5.9440213246e-02,Non-Hispanic White,5168,FALSE
egfr_cat_f<30,0.6915021230262249,0.37425896302540773,1.2776586091201079,0.31322359640957276,0.250952114134687,2.5095211413e-01,Non-Hispanic White,5168,FALSE
uacr_cat_fA2,0.8515017167772672,0.7180228808188833,1.0097939676347496,0.08698983689003478,0.07750879595212468,7.7508795952e-02,Non-Hispanic White,5168,FALSE
uacr_cat_fA3,1.6243365924167117,1.1995012873454434,2.199638627569129,0.15469061483269106,0.0046349806836710585,4.6349806837e-03,Non-Hispanic White,5168,FALSE
hba1c,1.0146322028914019,0.9603346623698831,1.071999738719984,0.028061037640652455,0.6096363827430776,6.0963638274e-01,Non-Hispanic White,5168,FALSE
antihtn_drug_classes,0.9220737515887406,0.8701989854613815,0.9770409039469816,0.0295425034781023,0.01150312561748629,1.1503125617e-02,Non-Hispanic White,5168,FALSE
ckm_stage_f3,0.9755250597684328,0.8250243799633785,1.1534800247702335,0.08549128138626118,0.7745299303802906,7.7452993038e-01,Non-Hispanic White,5168,FALSE
ckm_stage_f4,0.6558971634944728,0.5451161126907146,0.7891916585562033,0.09439040352548692,1.7525154998409927e-4,1.7525154998e-04,Non-Hispanic White,5168,FALSE
diet_sodium_500,1.0056385976955213,0.9927183811137582,1.0187269707249693,0.006597458971772904,0.4028565772296536,4.0285657723e-01,Non-Hispanic White,5168,FALSE
cotinine_log,1.0006872615806088,0.9743266945293297,1.0277610180571255,0.013620225395617955,0.9602060181253861,9.6020601813e-01,Non-Hispanic White,5168,FALSE
pa_met_min_wk_1000,1.0005276176707756,0.9927238761324748,1.0083927039429554,0.00399500127308859,0.8961051558633929,8.9610515586e-01,Non-Hispanic White,5168,FALSE
(Intercept),0.10768122800787182,0.057575252435744566,0.20139289668289106,0.3194298162754292,1.1528709098900094e-4,1.1528709099e-04,Mexican American,1948,FALSE
age10,1.2505246614196495,1.1601356459862986,1.3479561068820032,0.038278703016041686,3.8696496849075624e-4,3.8696496849e-04,Mexican American,1948,FALSE
sex_fMale,1.5791615884537267,1.3294711707648312,1.8757468212064103,0.0878126626444832,8.19341250667678e-4,8.1934125067e-04,Mexican American,1948,FALSE
pir,1.036365850163251,0.9798468661403018,1.096144930906792,0.028611835352028797,0.2471662360120917,2.4716623601e-01,Mexican American,1948,FALSE
education_fLess than high school,1.0988137148147277,0.8746473836014775,1.3804323919581685,0.1164110310241948,0.4416539686190494,4.4165396862e-01,Mexican American,1948,FALSE
education_fHigh school/GED,1.0773163565457844,0.8660793280237304,1.3400741647181806,0.11135299261532444,0.5224486717343456,5.2244867173e-01,Mexican American,1948,FALSE
uninsuredTRUE,0.7728502897752593,0.6555260208419403,0.9111729380910751,0.08400375354708149,0.01540945917502096,1.5409459175e-02,Mexican American,1948,FALSE
bmi5,1.0575309094175542,0.9979199572193609,1.1207027340046285,0.029601565994348274,0.09547603908856961,9.5476039089e-02,Mexican American,1948,FALSE
smoking_fFormer,1.0874653500231934,0.9445766900104077,1.2519691624912284,0.0718714389546174,0.2769449078677495,2.7694490787e-01,Mexican American,1948,FALSE
smoking_fCurrent,1.4642322213237344,0.9998332869224003,2.1443334863975547,0.1946417097238054,0.085771556716317,8.5771556716e-02,Mexican American,1948,FALSE
alcohol_fModerate,0.7527017880152699,0.6078806605470642,0.9320250148631258,0.10902578408212374,0.031340023590162615,3.1340023590e-02,Mexican American,1948,FALSE
alcohol_fHeavy,1.00596146222157,0.7970542077613182,1.269623136821825,0.1187634442656987,0.9613118584998361,9.6131185850e-01,Mexican American,1948,FALSE
egfr_cat_f30-59,0.8465142709654843,0.566505117352732,1.2649248682815444,0.20491885026235188,0.43966366611921326,4.3966366612e-01,Mexican American,1948,FALSE
egfr_cat_f<30,0.8968516602561406,0.46966968349371885,1.7125714704874129,0.3300310350281239,0.7499755124260825,7.4997551243e-01,Mexican American,1948,FALSE
uacr_cat_fA2,1.0720329040319625,0.805928173957804,1.4260012051488031,0.14557010759179148,0.6455591666642801,6.4555916666e-01,Mexican American,1948,FALSE
uacr_cat_fA3,1.4732518607032694,0.9882831645475425,2.196203601281961,0.20370312562833,0.09365848564114412,9.3658485641e-02,Mexican American,1948,FALSE
hba1c,0.9675213171969234,0.8975703533902912,1.0429238172747732,0.03828875126063413,0.4136033154326725,4.1360331543e-01,Mexican American,1948,FALSE
antihtn_drug_classes,0.8979344404831587,0.8248733533623558,0.9774667300370565,0.04329958980557562,0.037735908717363285,3.7735908717e-02,Mexican American,1948,FALSE
ckm_stage_f3,0.9428066699386357,0.7695971718419211,1.1549995886203186,0.10356837813259699,0.5851995169953692,5.8519951700e-01,Mexican American,1948,FALSE
ckm_stage_f4,0.843343088572208,0.6479055682151589,1.0977333734016064,0.13450454224163136,0.24088412244295898,2.4088412244e-01,Mexican American,1948,FALSE
diet_sodium_500,1.00566159326957,0.9832546656163137,1.028579141847817,0.011496300648490472,0.6365558737602375,6.3655587376e-01,Mexican American,1948,FALSE
cotinine_log,0.9116592886819362,0.8376630259980247,0.9921921260041552,0.043188995223395,0.06462592644339393,6.4625926443e-02,Mexican American,1948,FALSE
pa_met_min_wk_1000,1.0055741938835832,0.9953996424850834,1.0158527452151171,0.0051886159604644854,0.31527440276565266,3.1527440277e-01,Mexican American,1948,FALSE
(Intercept),0.19590059385925182,0.1067289436886365,0.35957483835280907,0.30985457783288867,5.295621264323327e-5,5.2956212643e-05,Non-Hispanic Asian,1566,FALSE
age10,1.192011368809917,1.1179175123006995,1.2710160523810614,0.03274209982813086,4.248135665520155e-5,4.2481356655e-05,Non-Hispanic Asian,1566,FALSE
sex_fMale,1.1356478477273966,0.9137819008047052,1.4113827740647098,0.11090134469877834,0.2664019519601569,2.6640195196e-01,Non-Hispanic Asian,1566,FALSE
pir,0.9530747838288286,0.9046471805215134,1.0040948152258868,0.026606306469297784,0.08760280083873533,8.7602800839e-02,Non-Hispanic Asian,1566,FALSE
education_fLess than high school,1.2019430540490816,0.989069974695015,1.4606318482393568,0.09945390605926835,0.08087663580003546,8.0876635800e-02,Non-Hispanic Asian,1566,FALSE
education_fHigh school/GED,0.875942319868109,0.7051088845757948,1.0881651962129648,0.1106877585589896,0.2469653816840277,2.4696538168e-01,Non-Hispanic Asian,1566,FALSE
uninsuredTRUE,0.9193617036387024,0.6714727445904688,1.2587643339611059,0.16030928702302297,0.606358472041165,6.0635847204e-01,Non-Hispanic Asian,1566,FALSE
bmi5,1.0402864890813595,0.9716778383697389,1.113739489192125,0.034809753548995764,0.27141536396072297,2.7141536396e-01,Non-Hispanic Asian,1566,FALSE
smoking_fFormer,0.7870581328620865,0.6387186274070845,0.9698488159318129,0.10655004458662018,0.0373951224273766,3.7395122427e-02,Non-Hispanic Asian,1566,FALSE
smoking_fCurrent,1.1536265220773692,0.7841235898597345,1.697250496797823,0.19698934128456724,0.4774887171369201,4.7748871714e-01,Non-Hispanic Asian,1566,FALSE
alcohol_fModerate,1.198720614590957,1.0020412688038762,1.4340039243698695,0.09143655372136138,0.06292311024648146,6.2923110246e-02,Non-Hispanic Asian,1566,FALSE
alcohol_fHeavy,1.531463711721971,1.1938578301818157,1.9645396972971665,0.12705817078045206,0.0035291778087546796,3.5291778088e-03,Non-Hispanic Asian,1566,FALSE
egfr_cat_f30-59,0.7371732401613357,0.4442951003667633,1.2231158650216227,0.2583336447560022,0.2532124664801538,2.5321246648e-01,Non-Hispanic Asian,1566,FALSE
egfr_cat_f<30,1.1489595656114595,0.7485728364755121,1.763499848091613,0.21859366185967283,0.5332725364899757,5.3327253649e-01,Non-Hispanic Asian,1566,FALSE
uacr_cat_fA2,1.0999848127805687,0.8739518912091649,1.384477338533865,0.1173603685564284,0.42740132613107473,4.2740132613e-01,Non-Hispanic Asian,1566,FALSE
uacr_cat_fA3,1.5851648454560625,1.150068481847095,2.1848677943369808,0.16370760986181299,0.011484410477578165,1.1484410478e-02,Non-Hispanic Asian,1566,FALSE
hba1c,0.982487454180191,0.9035611448953464,1.0683079978314862,0.04272642400382049,0.6841195067191763,6.8411950672e-01,Non-Hispanic Asian,1566,FALSE
antihtn_drug_classes,0.9732230919670901,0.8916345696888773,1.0622773263137182,0.0446719209686141,0.5510525586729763,5.5105255867e-01,Non-Hispanic Asian,1566,FALSE
ckm_stage_f3,0.9574616113144578,0.6942159377750478,1.3205296612448763,0.16403192142219253,0.7940148250978115,7.9401482510e-01,Non-Hispanic Asian,1566,FALSE
ckm_stage_f4,0.7720220510069975,0.5895550659795201,1.0109624726076993,0.13757397252639417,0.07628589602360007,7.6285896024e-02,Non-Hispanic Asian,1566,FALSE
diet_sodium_500,1.0156181173294028,1.0053579053396338,1.0259830402380552,0.00518051372444301,0.00782907000909571,7.8290700091e-03,Non-Hispanic Asian,1566,FALSE
cotinine_log,0.9186902535654418,0.8505787720338762,0.9922558729957603,0.039302036853568686,0.04470132934621407,4.4701329346e-02,Non-Hispanic Asian,1566,FALSE
pa_met_min_wk_1000,1.0058575360176993,0.9907665667265594,1.0211783650576383,0.007712639288093675,0.4586950482328137,4.5869504823e-01,Non-Hispanic Asian,1566,FALSE
(Intercept),0.2341511037770199,0.16274027841002853,0.3368971709748418,0.18561790997939373,3.3752006014856987e-7,3.3752006015e-07,Non-Hispanic Black,3135,FALSE
age10,1.147406525599169,1.1067291644208064,1.1895789659401927,0.018415935674401102,6.454424015310601e-7,6.4544240153e-07,Non-Hispanic Black,3135,FALSE
sex_fMale,1.2531517552988147,1.129163529773842,1.3907545545002065,0.053155440139276984,4.8669334507218595e-4,4.8669334507e-04,Non-Hispanic Black,3135,FALSE
pir,0.9667939870051733,0.9366767202580044,0.9978796238812275,0.01614654201773268,0.05093481763519477,5.0934817635e-02,Non-Hispanic Black,3135,FALSE
education_fLess than high school,1.109221050071148,1.004739170991763,1.224567901245911,0.05047450806613684,0.054828592431285614,5.4828592431e-02,Non-Hispanic Black,3135,FALSE
education_fHigh school/GED,1.0207972955344535,0.9204470048412692,1.1320881192395773,0.05279583487578338,0.7012008942854782,7.0120089429e-01,Non-Hispanic Black,3135,FALSE
