nhanes_cycle,bp_phenotype,sbp_mean,dbp_mean,se.sbp_mean,se.dbp_mean
G,Controlled-Treated,116.83694764079337,66.56862052081308,0.4520607393590552,0.6310884784777014
H,Controlled-Treated,115.35880482255534,65.54675314644896,0.7065222822090675,0.551276139646456
I,Controlled-Treated,116.49502456144386,65.05797069004306,0.6953106398490433,0.7122285483625455
J,Controlled-Treated,116.64909151329967,66.62186269890651,0.6103432775641753,0.5353238600470082
L,Controlled-Treated,114.41788977877154,67.87208126342833,0.2687463440430105,0.2563297239911952
G,Uncontrolled-Treated,142.74269033383916,75.59497741218394,0.9164790306714028,1.0064464742095982
H,Uncontrolled-Treated,142.21903265290095,74.56734529430913,0.6479275572981656,0.7727556142804874
I,Uncontrolled-Treated,144.66745277553937,73.56777971865762,0.6736600572249666,0.7222329740902694
J,Uncontrolled-Treated,143.82982007380102,77.5943721586426,0.5647376918888751,1.104476453758385
L,Uncontrolled-Treated,139.41053923256,80.54936856369109,0.634798766916908,0.5010119171226062
G,Uncontrolled-Untreated,133.45758973728954,80.62084153671167,0.842363074897131,0.6079238945445918
H,Uncontrolled-Untreated,136.8645553493654,78.47564295778152,0.6762774442390568,0.5483081737025861
I,Uncontrolled-Untreated,136.4731244459498,78.66473012593613,0.804359967259059,0.6823310594059073
J,Uncontrolled-Untreated,136.79463013038014,81.64236929566643,0.8660819965245783,0.7780051974357943
L,Uncontrolled-Untreated,134.33990193263935,84.73050648169635,0.5928470809680672,0.3188414938750663
