term,PR,CI_low,CI_high,SE_logPR,p_value,p_value_full,model
(Intercept),0.2625141424530275,0.133739891684431,0.5152813728192276,0.3440857907464438,0.001309231532348582,1.3092315323e-03,fasting_sensitivity
age10,1.124861814171868,1.0860710603121635,1.1650380414503854,0.01790486929863346,6.431856472277749e-6,6.4318564723e-06,fasting_sensitivity
sex_fMale,1.2650905717837935,1.1252947560875524,1.4222532773375194,0.05974424036448572,0.0011811723359922467,1.1811723360e-03,fasting_sensitivity
race_eth_fMexican American,0.873949476186461,0.7641083894339948,0.9995802918645577,0.0685269981259936,0.06688167541147241,6.6881675411e-02,fasting_sensitivity
race_eth_fNon-Hispanic Asian,1.2176761576398576,1.0494112230932346,1.4129210668379082,0.07587499312417578,0.019512768397140938,1.9512768397e-02,fasting_sensitivity
race_eth_fNon-Hispanic Black,1.3094724994576539,1.1513576247326585,1.4893011432777261,0.06565438501091933,8.248441843407977e-4,8.2484418434e-04,fasting_sensitivity
race_eth_fOther Hispanic,1.0414231848935513,0.895669571261192,1.2108954963231098,0.07692445958909654,0.6049915782813812,6.0499157828e-01,fasting_sensitivity
race_eth_fOther/Multi,0.8221150267504889,0.6148099028415794,1.0993204795257046,0.14824857220989807,0.20499871101863643,2.0499871102e-01,fasting_sensitivity
pir,0.9848340455903895,0.952401852565081,1.0183706538807435,0.017084737539843697,0.3843181538079645,3.8431815381e-01,fasting_sensitivity
education_fLess than high school,1.0507355411755814,0.9175702764701048,1.2032268326485103,0.06914109219761169,0.48443784598130124,4.8443784598e-01,fasting_sensitivity
education_fHigh school/GED,1.0012191018688912,0.899243750769357,1.1147585836315257,0.054805869989238656,0.9825390071945821,9.8253900719e-01,fasting_sensitivity
uninsuredTRUE,1.0156942278181866,0.8850958500545796,1.1655627629025336,0.07022024575519777,0.8273030259734769,8.2730302597e-01,fasting_sensitivity
bmi5,1.0507161715962021,1.0172039852703307,1.085332430112708,0.016537922149286212,0.008632461290097707,8.6324612901e-03,fasting_sensitivity
smoking_fFormer,0.9797898568918955,0.8680397701429715,1.1059264755923857,0.061786012846982215,0.7453478430064173,7.4534784301e-01,fasting_sensitivity
smoking_fCurrent,0.868426211419792,0.6674935770290764,1.1298447065777257,0.1342616598610303,0.30899483856067883,3.0899483856e-01,fasting_sensitivity
alcohol_fModerate,0.9699281091237064,0.8000354213653872,1.1758986061676266,0.09824793420963959,0.7599812204468079,7.5998122045e-01,fasting_sensitivity
alcohol_fHeavy,1.084558313528649,0.9013456072142241,1.3050118911430413,0.09440782291552403,0.40259319604621757,4.0259319605e-01,fasting_sensitivity
egfr_cat_f30-59,0.8771927525400528,0.696904258234796,1.1041217154531306,0.11738709989454035,0.28081617408569626,2.8081617409e-01,fasting_sensitivity
egfr_cat_f<30,1.0136600385406882,0.6941467468793582,1.4802441678991096,0.19318340369181314,0.9448796389545131,9.4487963895e-01,fasting_sensitivity
uacr_cat_fA2,0.9165257441910887,0.7824495087369331,1.0735765444099108,0.08069426622853255,0.29607182536829163,2.9607182537e-01,fasting_sensitivity
uacr_cat_fA3,1.4800130412374315,1.1186380317210627,1.958129922386786,0.1428260189610628,0.014382453262142192,1.4382453262e-02,fasting_sensitivity
hba1c,0.968385700032385,0.8982251127620043,1.0440265482486975,0.038372315874130945,0.41481758874006835,4.1481758874e-01,fasting_sensitivity
antihtn_drug_classes,0.9345309534335821,0.8622993442208153,1.0128131359239851,0.04104197544821476,0.11847724146696952,1.1847724147e-01,fasting_sensitivity
ckm_stage_f3,0.996979096178226,0.7975154143943795,1.2463299144771458,0.11389216334371373,0.9791356814284352,9.7913568143e-01,fasting_sensitivity
ckm_stage_f4,0.7798996592241484,0.6255772419399774,0.9722915695777538,0.11249513203673245,0.04204050217078696,4.2040502171e-02,fasting_sensitivity
diet_sodium_500,1.0022704178045774,0.9903227200314083,1.0143622579660727,0.006118496655255538,0.7157567905197602,7.1575679052e-01,fasting_sensitivity
cotinine_log,0.9958529129371081,0.957199255747156,1.0360674835995558,0.020197954286957524,0.8395819912482336,8.3958199125e-01,fasting_sensitivity
pa_met_min_wk_1000,1.0042287404639676,0.9966120453477689,1.0119036468417741,0.0038844547112241523,0.29342623954282454,2.9342623954e-01,fasting_sensitivity
glucose_fast_10,1.0277075098816573,1.0049184723946194,1.0510133457397588,0.011440911664286946,0.029567866279119465,2.9567866279e-02,fasting_sensitivity
log_tg,0.920082647854263,0.8399277102299365,1.0078868318926657,0.0465039141573585,0.0922167601911883,9.2216760191e-02,fasting_sensitivity
